2021-06-21 18:23:51,425 - bb_pipeline_func - INFO - Starting the subject processing: Mon Jun 21 18:23:51 2021 
2021-06-21 18:23:51,425 - bb_pipeline_func - INFO - Subject received as input: 000015 
2021-06-21 18:23:51,425 - bb_pipeline_func - INFO - COMMAND TO RUN: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_postprocess_struct_000015" -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_postprocess_struct 000015 
2021-06-21 18:23:51,452 - bb_pipeline_func - ERROR - Exception raised during execution of: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_postprocess_struct_000015" -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_postprocess_struct 000015 
2021-06-21 18:23:51,452 - bb_pipeline_func - ERROR - Exception type: 	<class 'subprocess.CalledProcessError'> 
2021-06-21 18:23:51,452 - bb_pipeline_func - ERROR - Exception args: 	(127, '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_postprocess_struct_000015" -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_postprocess_struct 000015') 
2021-06-21 18:23:51,452 - bb_pipeline_func - ERROR - Exception message: 	Command '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_postprocess_struct_000015" -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_postprocess_struct 000015' returned non-zero exit status 127. 
2021-06-21 18:23:51,452 - bb_pipeline_func - INFO - COMMAND TO RUN: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}   -N "bb_prepare_rfMRI_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_prepare_rfMRI 000015 
2021-06-21 18:23:51,476 - bb_pipeline_func - ERROR - Exception raised during execution of: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}   -N "bb_prepare_rfMRI_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_prepare_rfMRI 000015 
2021-06-21 18:23:51,477 - bb_pipeline_func - ERROR - Exception type: 	<class 'subprocess.CalledProcessError'> 
2021-06-21 18:23:51,477 - bb_pipeline_func - ERROR - Exception args: 	(127, '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}   -N "bb_prepare_rfMRI_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_prepare_rfMRI 000015') 
2021-06-21 18:23:51,477 - bb_pipeline_func - ERROR - Exception message: 	Command '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}   -N "bb_prepare_rfMRI_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_prepare_rfMRI 000015' returned non-zero exit status 127. 
2021-06-21 18:23:51,477 - bb_pipeline_func - INFO - COMMAND TO RUN: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_feat_rfMRI_ns_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  feat /home/yxw190015/HSAM/000015/fMRI/rfMRI.fsf 000015 
